04-16 17:41:58.609   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:41:58.687   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:41:58.687   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:41:58.695   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:41:58.703   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:41:58.706   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:41:58.714    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:41:58.746   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:42:00.007   145   162 I ActivityManager: No longer want com.google.android.voicesearch (pid 25102): hidden #16
04-16 17:42:34.722   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:42:34.730   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:42:34.730    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:42:36.011   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:42:36.089   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:42:36.093   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:42:36.097   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:42:36.105    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:42:36.117   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:42:36.121   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:42:36.167   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:42:41.769   974   974 I PhoneLab-Locks: wake lock acquired
04-16 17:42:41.781   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-16 17:42:41.835   974   976 D dalvikvm: GC_CONCURRENT freed 521K, 16% free 9244K/10887K, paused 1ms+2ms
04-16 17:42:41.855   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-16 17:42:41.855   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-16 17:42:41.859   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-16 17:42:41.863   974   974 I PhoneLab-Locks: wake lock released
04-16 17:42:41.863   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-16 17:42:41.863   974   974 I PhoneLab-Locks: wake lock acquired
04-16 17:42:41.867   974   974 I PhoneLab-Locks: wake lock acquired
04-16 17:42:41.867   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-16 17:42:41.867   974   974 I PhoneLab-Locks: wake lock acquired
04-16 17:42:41.874   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 39
04-16 17:42:41.874   974   974 I PhoneLab-Locks: wake lock released
04-16 17:42:41.874   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-16 17:42:41.874   974   974 I PhoneLab-Locks: wake lock released
04-16 17:43:12.124    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:43:12.128   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=d0:c2:82:66:6b:f1 reason=0
04-16 17:43:13.816   291   291 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:66:6b:f1 (SSID='UB_Secure' freq=2437 MHz)
04-16 17:43:13.867   291   291 I wpa_supplicant: wlan0: Associated with d0:c2:82:66:6b:f1
04-16 17:43:13.867   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
04-16 17:43:13.874   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
04-16 17:43:13.882   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
04-16 17:43:13.882   291   291 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
04-16 17:43:13.906   291   291 I wpa_supplicant: EAP-TLV: TLV Result - Success - EAP-TLV/Phase2 Completed
04-16 17:43:13.917    75   114 D NetlinkEvent: Unexpected netlink message. type=0x30
04-16 17:43:27.941   974  1149 I PhoneLab-: Service Running
04-16 17:43:27.999   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1072  c00f1758 400c6794 S logcat
04-16 17:43:27.999   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-16 17:43:27.999   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-16 17:43:27.999   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-16 17:43:28.003   974  1149 I PhoneLab-LoggerService: Starting to rename files
