04-14 14:53:11.361   974 13003 I PhoneLab-PeriodicCheckService: Logger Service is running
04-14 14:53:11.365   974 13003 I PhoneLab-Locks: wake lock acquired
04-14 15:15:25.794   291   291 I wpa_supplicant: wlan0: WPA: Group rekeying completed with d0:c2:82:2d:e4:b1 [GTK=TKIP]
04-14 15:15:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:15:27.997   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:15:27.997   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:15:27.997   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:15:27.997   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:15:27.997   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:15:28.001   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:16:35.091   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:16:35.111   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 15:16:35.162   974   976 D dalvikvm: GC_CONCURRENT freed 480K, 15% free 9289K/10887K, paused 2ms+3ms
04-14 15:16:35.189   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 15:16:35.189   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 15:16:35.201   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 15:16:35.201   974   974 I PhoneLab-Locks: wake lock released
04-14 15:16:35.205   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 15:16:35.205   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:16:35.205   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:16:35.208   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:16:35.208   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:16:35.212   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 94
04-14 15:16:35.212   974   974 I PhoneLab-Locks: wake lock released
04-14 15:16:35.216   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 15:16:35.216   974   974 I PhoneLab-Locks: wake lock released
04-14 15:17:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:17:28.001   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:17:28.001   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:17:28.001   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:17:28.001   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:17:28.001   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:17:28.001   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:19:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:19:27.994   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:19:27.994   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:19:27.994   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:19:27.994   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:19:27.997   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:19:27.997   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:21:00.134   215   217 D dalvikvm: GC_CONCURRENT freed 384K, 9% free 10455K/11399K, paused 1ms+5ms
04-14 15:21:27.943   974  1149 I PhoneLab-: Service Running
04-14 15:21:28.009   974   976 D dalvikvm: GC_CONCURRENT freed 474K, 16% free 9213K/10887K, paused 2ms+1ms
04-14 15:21:28.013   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:21:28.013   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:21:28.013   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:21:28.013   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:21:28.013   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:21:28.013   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:21:35.220   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:21:35.247   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 15:21:35.294   974   976 D dalvikvm: GC_CONCURRENT freed 389K, 15% free 9321K/10887K, paused 1ms+3ms
04-14 15:21:35.298   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 15:21:35.298   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 15:21:35.306   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 15:21:35.310   974   974 I PhoneLab-Locks: wake lock released
04-14 15:21:35.310   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 15:21:35.310   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:21:35.314   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:21:35.322   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:21:35.322   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:21:35.330   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-14 15:21:35.330   974   974 I PhoneLab-Locks: wake lock released
04-14 15:21:35.330   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 15:21:35.330   974   974 I PhoneLab-Locks: wake lock released
04-14 15:23:11.396   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:23:11.415   974 13102 I PhoneLab-PeriodicCheckService: User info is synched
04-14 15:23:11.419   974 13102 I PhoneLab-PeriodicCheckService: Logger Service is running
04-14 15:23:11.419   974 13102 I PhoneLab-Locks: wake lock acquired
04-14 15:23:11.431   974 13102 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-14 15:23:11.447   974  5703 D dalvikvm: GC_EXPLICIT freed 207K, 16% free 9192K/10887K, paused 2ms+2ms
04-14 15:23:11.447   974 13102 I PhoneLab-Locks: wake lock released
04-14 15:23:11.447   974   974 I PhoneLab-UploadLogs: Transfering log files now
04-14 15:23:11.497   974   976 D dalvikvm: GC_CONCURRENT freed 323K, 15% free 9310K/10887K, paused 2ms+3ms
04-14 15:23:11.513   974   974 D dalvikvm: GC_FOR_ALLOC freed 184K, 13% free 9495K/10887K, paused 15ms
04-14 15:23:11.529   974   974 I PhoneLab-UploadLogs: OnStartCommand
04-14 15:23:11.540   974   976 D dalvikvm: GC_CONCURRENT freed 299K, 11% free 9707K/10887K, paused 1ms+2ms
04-14 15:23:11.884   974 13104 D dalvikvm: GC_FOR_ALLOC freed 307K, 11% free 9727K/10887K, paused 26ms
04-14 15:23:11.900   974 13104 D dalvikvm: GC_FOR_ALLOC freed 301K, 11% free 9727K/10887K, paused 13ms
04-14 15:23:11.912   974 13104 D dalvikvm: GC_FOR_ALLOC freed 301K, 11% free 9728K/10887K, paused 12ms
04-14 15:23:14.173   974   974 I PhoneLab-: 1334429608012.log is deleted
04-14 15:23:14.177   974   974 I PhoneLab-: Response: {"data": "done", "err": ""}
04-14 15:23:14.181   974   974 I PhoneLab-UploadLogs: No log files to transfer
04-14 15:23:14.181   974   974 I PhoneLab-Locks: wake lock released
04-14 15:23:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:23:28.005   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:23:28.005   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:23:28.005   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:23:28.005   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:25:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:25:28.017   974   976 D dalvikvm: GC_CONCURRENT freed 886K, 16% free 9254K/10887K, paused 1ms+6ms
04-14 15:25:28.021   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:25:28.025   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:25:28.025   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:25:28.025   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:26:35.337   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:26:35.365   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 15:26:35.415   974   976 D dalvikvm: GC_CONCURRENT freed 408K, 15% free 9357K/10887K, paused 2ms+3ms
04-14 15:26:35.415   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 15:26:35.415   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 15:26:35.423   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 15:26:35.427   974   974 I PhoneLab-Locks: wake lock released
04-14 15:26:35.427   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 15:26:35.427   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:26:35.431   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:26:35.439   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:26:35.439   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:26:35.447   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-14 15:26:35.447   974   974 I PhoneLab-Locks: wake lock released
04-14 15:26:35.447   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 15:26:35.447   974   974 I PhoneLab-Locks: wake lock released
